"x","y","z","w","id"
27.7209219999999,-29.8802920000002,-2.125,1,1
27.5603729999999,-29.7480980000002,-2.125,1,1
27.6893859999999,-29.9522080000002,-2.125,1,1
27.5007189999999,-29.6899980000002,-2.125,1,1
26.4280779999999,-28.6908990000002,-2.125,1,1
27.4515359999999,-29.6228040000002,-2.125,1,1
27.4141859999999,-29.5483790000002,-2.125,1,1
27.3816959999999,-29.3030160000002,-2.125,1,1
27.3983879999999,-29.2214350000002,-2.125,1,1
27.4283879999999,-29.1437550000002,-2.125,1,1
28.6908189999998,-26.4281580000001,-2.125,1,1
29.6899179999998,-27.5007990000001,-2.125,1,1
29.9521279999998,-27.6894660000001,-2.125,1,1
29.7480179999998,-27.5604530000001,-2.125,1,1
29.8802119999998,-27.7210020000001,-2.125,1,1
27.3897059999999,-29.4687870000002,-2.125,1,1
27.3787749999999,-29.3862360000002,-2.125,1,1
29.0084709999998,-27.5247190000001,-2.125,1,1
27.5246389999999,-29.0085510000002,-2.125,1,1
27.4708649999999,-29.0721320000002,-2.125,1,1
29.0720519999998,-27.4709450000001,-2.125,1,1
29.1436749999998,-27.4284680000001,-2.125,1,1
29.2213549999998,-27.3984680000001,-2.125,1,1
29.3029359999998,-27.3817760000001,-2.125,1,1
29.3861559999998,-27.3788550000001,-2.125,1,1
29.4687069999998,-27.3897860000001,-2.125,1,1
29.5482989999998,-27.4142660000001,-2.125,1,1
29.6227239999998,-27.4516160000001,-2.125,1,1
25.6325829999996,-23.3699210000003,-2.125,1,1
23.3698409999997,-25.6326630000004,-2.125,1,1
26.9053739999997,-24.6427130000002,-2.125,1,1
24.6426329999998,-26.9054540000003,-2.125,1,1
13.3996399999993,-16.9352500000008,-3.02499999999999,1,1
13.3996399999993,-16.9352500000008,0.425000000000003,1,1
14.0360299999993,-16.2988500000008,-3.02499999999999,1,1
14.0360299999993,-16.2988500000008,0.425000000000003,1,1
21.0010299999996,-23.2638550000005,-0.474999999999997,1,1
23.2637749999995,-21.0011100000004,-0.474999999999997,1,1
23.0516419999997,-25.3144640000004,-0.474999999999997,1,1
25.3143839999996,-23.0517220000003,-0.474999999999997,1,1
16.9898799999994,-18.0558300000007,-0.474999999999996,1,1
17.2145899999994,-17.9627500000007,-0.474999999999996,1,1
18.5261599999995,-20.7889800000006,-0.474999999999997,1,1
18.0557499999993,-16.0320100000006,-0.474999999999997,1,1
17.9626699999993,-15.8073000000006,-0.474999999999997,1,1
20.7888999999994,-18.5262400000005,-0.474999999999997,1,1
17.8355899999992,-15.5999200000006,-0.474999999999996,1,1
17.6776299999992,-15.4149700000007,-0.474999999999996,1,1
15.4148899999993,-17.6777100000008,-0.474999999999996,1,1
15.5998399999993,-17.8356700000007,-0.474999999999996,1,1
17.8355899999993,-17.4220500000006,-0.474999999999996,1,1
17.9626699999993,-17.2146700000006,-0.474999999999997,1,1
18.0557499999993,-16.9899600000006,-0.474999999999997,1,1
18.1125299999993,-16.7534600000006,-0.474999999999997,1,1
18.1316199999993,-16.5109800000006,-0.474999999999997,1,1
18.1125299999993,-16.2685100000006,-0.474999999999997,1,1
15.8072199999994,-17.9627500000007,-0.474999999999996,1,1
16.0319299999994,-18.0558300000007,-0.474999999999996,1,1
16.2684299999994,-18.1126100000007,-0.474999999999996,1,1
16.5108999999994,-18.1317000000007,-0.474999999999996,1,1
16.7533799999994,-18.1126100000007,-0.474999999999996,1,1
17.4219699999994,-17.8356700000007,-0.474999999999996,1,1
17.6069199999993,-17.6777100000007,-0.474999999999996,1,1
17.6776299999993,-17.6070000000006,-0.474999999999996,1,1
35.142484,-31.5835405899998,-15.375,1,1
35.142484,-31.5835405899998,-8.375,1,1
37.377575,-31.8184581999997,-15.375,1,1
36.162418,-31.6907399799998,-8.375,1,1
37.544987,-31.8360537999997,-15.36073,1,1
37.707621,-31.8531472999997,-15.31833,1,1
38.41881,-31.9278963999997,1.57301155,1,1
38.566677,-31.9434378999997,1.5093007,1,1
39.095668,-31.9990369999996,0.576475000000004,1,1
38.370925,-31.9228634999997,-14.42352,1,1
38.348627,-31.9205197999997,-14.59097,1,1
38.298614,-31.9152632999997,-14.75225,1,1
38.222316,-31.9072439999997,-14.90276,1,1
38.121908,-31.8966906999997,-15.03821,1,1
36.162418,-31.6907399799998,1.625,1,1
38.102318,-31.8946316999997,1.625,1,1
38.262662,-31.9114844999997,1.61191731000001,1,1
38.702395,-31.9577023999997,1.4224518,1,1
38.822411,-31.9703164999997,1.3147373,1,1
38.923586,-31.9809503999997,1.1889755,1,1
39.003271,-31.9893256999997,1.048457,1,1
39.059383,-31.9952232999997,0.896858700000005,1,1
39.090453,-31.9984888999996,0.738147100000001,1,1
38.000257,-31.8839046999997,-15.15473,1,1
37.860835,-31.8692507999997,-15.249,1,1
35.053635,-32.4288841999998,-8.375,1,1
35.053635,-32.4288841999998,-15.375,1,1
36.073569,-32.5360835999998,-8.375,1,1
37.288726,-32.6638019999997,-15.375,1,1
38.1334670000001,-32.7525879999997,-14.90276,1,1
38.209765,-32.7606069999997,-14.75225,1,1
38.2597770000001,-32.7658629999997,-14.59097,1,1
38.2820760000001,-32.7682069999997,-14.42352,1,1
36.073569,-32.5360835999998,1.625,1,1
39.0068190000001,-32.8443809999997,0.576475000000004,1,1
38.0134690000001,-32.7399749999997,1.625,1,1
39.0016040000001,-32.8438329999997,0.738147100000001,1,1
38.9705340000001,-32.8405669999997,0.896858700000005,1,1
38.9144220000001,-32.8346689999997,1.048457,1,1
38.4778280000001,-32.7887819999997,1.5093007,1,1
